project,release version,snapshot version
geomajas-project-api,1.0.0
geomajas-build-tools,2.6.0
geomajas-parents,2.6.0
geomajas-project-server,1.18.3
geomajas-project-client-gwt2,2.4.2
geomajas-project-client-gwt,1.16.0
geomajas-gwt2-quickstart-application,2.4.1
geomajas-gwt2-mobile-quickstart-application,
geomajas-gwt-quickstart-application,1.16.0
geomajas-project-documentation,1.12.0
geomajas-project-javascript,
geomajas-project-sld,1.2.1
geomajas-project-codemirror-gwt,3.1.3
geomajas-project-sld-editor,1.0.0-M2
geomajas-project-profiling,1.1.0
geomajas-project-geometry,1.3.0
geomajas-project-graphics,1.0.0-M5
geomajas-project-deskmanager,1.0.0-M13
geomajas-widget-definitions-sample,
geomajas-project-hammer-gwt,1.0.0
